Date,Clicks,Impressions,CTR,Position
2026-05-23,4,111,3.6%,27.2
2026-05-24,1,111,0.9%,27.8
2026-05-25,1,119,0.84%,30.5
2026-05-26,8,152,5.26%,16.5
2026-05-27,3,182,1.65%,24.9
2026-05-28,2,174,1.15%,27.1
2026-05-29,5,120,4.17%,23.3
2026-05-30,3,186,1.61%,21.1
2026-05-31,5,229,2.18%,18.6
2026-06-01,6,172,3.49%,25.2
2026-06-02,16,187,8.56%,16.4
2026-06-03,6,144,4.17%,20.6
2026-06-04,4,167,2.4%,24.2
2026-06-05,6,149,4.03%,19.2
2026-06-06,2,121,1.65%,23.1
2026-06-07,8,206,3.88%,19.6
2026-06-08,3,164,1.83%,24.8
2026-06-09,8,228,3.51%,18
2026-06-10,5,150,3.33%,24.7
2026-06-11,4,188,2.13%,23.7
2026-06-12,4,161,2.48%,19
2026-06-13,2,158,1.27%,24.6
2026-06-14,5,207,2.42%,17.2
2026-06-15,9,386,2.33%,37.1
2026-06-16,12,287,4.18%,16
2026-06-17,6,181,3.31%,16.9
2026-06-18,7,210,3.33%,17.8
2026-06-19,6,155,3.87%,18.3
2026-06-20,7,203,3.45%,15.1
2026-06-21,7,168,4.17%,19.1
2026-06-22,9,176,5.11%,17.9
2026-06-23,23,296,7.77%,11.1
2026-06-24,5,165,3.03%,14.3
2026-06-25,13,234,5.56%,16.8
2026-06-26,10,217,4.61%,15.7
2026-06-27,7,251,2.79%,18.7
2026-06-28,7,334,2.1%,14.1
2026-06-29,15,256,5.86%,16.4
2026-06-30,12,292,4.11%,15.6
2026-07-01,10,226,4.42%,16
2026-07-02,19,271,7.01%,16.7
2026-07-03,6,233,2.58%,13.8
2026-07-04,5,208,2.4%,14.3
2026-07-05,21,386,5.44%,13.1
2026-07-06,13,245,5.31%,15.6
2026-07-07,9,331,2.72%,12.4
2026-07-08,10,334,2.99%,12.4
2026-07-09,19,311,6.11%,14.5
2026-07-10,9,192,4.69%,15.2
2026-07-11,14,249,5.62%,16.3
2026-07-12,14,370,3.78%,12.7
2026-07-13,12,257,4.67%,15.8
2026-07-14,6,360,1.67%,11.1
2026-07-15,10,216,4.63%,13.4
2026-07-16,16,282,5.67%,13
2026-07-17,9,227,3.96%,15.1
2026-07-18,9,240,3.75%,16.8
2026-07-19,13,324,4.01%,12
2026-07-20,13,275,4.73%,14.6
2026-07-21,17,364,4.67%,11.2
2026-07-22,17,289,5.88%,11.8
2026-07-23,10,291,3.44%,13.7
2026-07-24,4,196,2.04%,13.4
2026-07-25,6,271,2.21%,17.6
2026-07-26,12,352,3.41%,12.3
2026-07-27,8,252,3.17%,17.3
2026-07-28,15,335,4.48%,12.5
2026-07-29,17,232,7.33%,14.2
2026-07-30,15,314,4.78%,16.7
2026-07-31,6,205,2.93%,17.3
2026-08-01,3,238,1.26%,19.7
2026-08-02,9,343,2.62%,14.3
2026-08-03,8,247,3.24%,16
2026-08-04,8,326,2.45%,13.1
2026-08-05,16,276,5.8%,16.1
2026-08-06,20,317,6.31%,13.9
2026-08-07,12,158,7.59%,14.3
2026-08-08,7,235,2.98%,18.1
2026-08-09,15,322,4.66%,13
2026-08-10,15,245,6.12%,18.1
2026-08-11,11,295,3.73%,12.5
2026-08-12,14,248,5.65%,13.3
2026-08-13,6,260,2.31%,16
2026-08-14,3,181,1.66%,19.3
2026-08-15,8,432,1.85%,40.8
2026-08-16,13,621,2.09%,43.1
2026-08-17,11,485,2.27%,51
2026-08-18,18,765,2.35%,42.1
2026-08-19,14,812,1.72%,56.4
2026-08-20,18,921,1.95%,57.8
2026-08-21,8,791,1.01%,58.9
2026-08-22,8,484,1.65%,47.2
