id,slug,primary_keyword,title,category_key,search_intent,priority,score,competition_estimate,conversion_potential,status
1,"llc-vs-s-corp-tax-calculator","llc vs s corp tax calculator","Llc vs S Corp Tax Calculator: Which Strategy Works Better in 2026?",business_structures,comparison,P1,63,low,high,pending
2,"llc-vs-s-corp-taxes","llc vs s corp taxes","Llc vs S Corp Taxes: Which Strategy Works Better in 2026?",business_structures,comparison,P1,56,medium,high,pending
3,"llc-vs-s-corp-tax-advantages","llc vs s corp tax advantages","Llc vs S Corp Tax Advantages: Which Strategy Works Better in 2026?",business_structures,comparison,P1,56,low,high,pending
4,"llc-vs-s-corp-tax-implications","llc vs s corp tax implications","Llc vs S Corp Tax Implications: Which Strategy Works Better in 2026?",business_structures,comparison,P1,56,low,high,pending
5,"tax-strategy-vs-standard-deduction","tax strategy vs standard deduction","Tax Strategy vs Standard Deduction: Which Strategy Works Better in 2026?",tax_strategies,comparison,P1,51,medium,high,pending
6,"tax-strategy-vs-itemized-deductions","tax strategy vs itemized deductions","Tax Strategy vs Itemized Deductions: Which Strategy Works Better in 2026?",tax_strategies,comparison,P1,51,medium,high,pending
7,"retirement-withdrawal-strategy-calculator-with-taxes","retirement withdrawal strategy calculator with taxes","Retirement Withdrawal Strategy Calculator With Taxes: Practical Guide + Examples",retirement,commercial,P1,51,low,high,pending
8,"retirement-withdrawal-strategy-vs-taxable-brokerage","retirement withdrawal strategy vs taxable brokerage","Retirement Withdrawal Strategy vs Taxable Brokerage: Which Strategy Works Better in 2026?",retirement,comparison,P1,51,low,high,pending
9,"tax-deduction-vs-retirement-contributions","tax deduction vs retirement contributions","Tax Deduction vs Retirement Contributions: Which Strategy Works Better in 2026?",tax_strategies,comparison,P1,49,medium,high,pending
10,"best-tax-strategy-for-401k-withdrawal","best tax strategy for 401k withdrawal","Best Tax Strategy For 401k Withdrawal: Complete 2026 Guide",tax_strategies,commercial,P1,46,low,high,pending
11,"best-tax-strategy-for-ira-withdrawals","best tax strategy for ira withdrawals","Best Tax Strategy For Ira Withdrawals: Complete 2026 Guide",tax_strategies,commercial,P1,46,low,high,pending
12,"which-is-better-for-taxes-llc-or-s-corp","which is better for taxes llc or s corp","Which Is Better For Taxes Llc Or S Corp: Complete 2026 Guide",business_structures,informational,P1,46,low,high,pending
13,"best-tax-strategy-for-retirement","best tax strategy for retirement","Best Tax Strategy For Retirement: Complete 2026 Guide",tax_strategies,commercial,P1,44,medium,high,pending
14,"tax-deductions-for-seniors-2025","tax deductions for seniors 2025","Tax Deductions For Seniors 2025: Complete 2026 Guide",tax_strategies,informational,P1,44,medium,high,pending
15,"tax-deduction-for-seniors","tax deduction for seniors","Tax Deduction For Seniors: Complete 2026 Guide",tax_strategies,informational,P1,44,medium,high,pending
16,"tax-deduction-vs-credit","tax deduction vs credit","Tax Deduction vs Credit: Which Strategy Works Better in 2026?",tax_strategies,comparison,P1,44,medium,high,pending
17,"best-tax-deductions-for-individuals","best tax deductions for individuals","Best Tax Deductions For Individuals: Complete 2026 Guide",tax_strategies,commercial,P1,44,medium,high,pending
18,"best-tax-deductions-for-small-business","best tax deductions for small business","Best Tax Deductions For Small Business: Complete 2026 Guide",tax_strategies,commercial,P1,44,low,high,pending
19,"best-tax-deductions-for-w2-employees","best tax deductions for w2 employees","Best Tax Deductions For W2 Employees: Complete 2026 Guide",tax_strategies,commercial,P1,44,low,high,pending
20,"best-tax-deductions-for-self-employed","best tax deductions for self employed","Best Tax Deductions For Self Employed: Complete 2026 Guide",tax_strategies,commercial,P1,44,low,high,pending
21,"best-tax-deductions-for-high-income-earners","best tax deductions for high income earners","Best Tax Deductions For High Income Earners: Complete 2026 Guide",tax_strategies,commercial,P1,44,low,high,pending
22,"best-tax-deductions-for-business-owners","best tax deductions for business owners","Best Tax Deductions For Business Owners: Complete 2026 Guide",tax_strategies,commercial,P1,44,low,high,pending
23,"best-tax-deductions-for-small-business-owners","best tax deductions for small business owners","Best Tax Deductions For Small Business Owners: Complete 2026 Guide",tax_strategies,commercial,P1,44,low,high,pending
